module	iteration	random_delta
stromal_ligand_panel	1	0.0186156210086659
stromal_ligand_panel	2	0.0390843249871415
stromal_ligand_panel	3	0.058845995798288
stromal_ligand_panel	4	-0.0458098532047751
stromal_ligand_panel	5	0.0128737729915994
stromal_ligand_panel	6	0.0164596202781027
stromal_ligand_panel	7	0.0467215050780237
stromal_ligand_panel	8	0.0560985727772955
stromal_ligand_panel	9	0.0124679654017065
stromal_ligand_panel	10	0.0969115843666493
stromal_ligand_panel	11	0.01816291824293
stromal_ligand_panel	12	0.049081410370083
stromal_ligand_panel	13	0.038700743109105
stromal_ligand_panel	14	0.0223238121447046
stromal_ligand_panel	15	-0.0126025157246302
stromal_ligand_panel	16	0.0179878217759734
stromal_ligand_panel	17	0.0357987710892578
stromal_ligand_panel	18	-0.00330382180547221
stromal_ligand_panel	19	-0.0103986725003766
stromal_ligand_panel	20	-0.0556866756802109
stromal_ligand_panel	21	0.0485324275546262
stromal_ligand_panel	22	0.0512817146053208
stromal_ligand_panel	23	0.0212503584451013
stromal_ligand_panel	24	0.0522547105551707
stromal_ligand_panel	25	0.0663898258173721
stromal_ligand_panel	26	0.0573746468207218
stromal_ligand_panel	27	0.0398396904265943
stromal_ligand_panel	28	0.0245123232674315
stromal_ligand_panel	29	0.0459710439959922
stromal_ligand_panel	30	0.00806574685654402
stromal_ligand_panel	31	0.0224000560466898
stromal_ligand_panel	32	0.0191361675753849
stromal_ligand_panel	33	-0.0178204982908041
stromal_ligand_panel	34	0.0103585364966751
stromal_ligand_panel	35	-0.00107701855410401
stromal_ligand_panel	36	-0.0509668330106992
stromal_ligand_panel	37	-0.0296549988522681
stromal_ligand_panel	38	0.00157271079605694
stromal_ligand_panel	39	-0.00497180957047092
stromal_ligand_panel	40	0.00174716193995234
stromal_ligand_panel	41	0.0421208914528696
stromal_ligand_panel	42	0.0373141913319438
stromal_ligand_panel	43	0.010101346610846
stromal_ligand_panel	44	-0.00151387703945794
stromal_ligand_panel	45	-0.0547185604341982
stromal_ligand_panel	46	0.0266997404158134
stromal_ligand_panel	47	0.0723099807328429
stromal_ligand_panel	48	0.0177614863779848
stromal_ligand_panel	49	0.0258771199394492
stromal_ligand_panel	50	-0.000605107711240746
stromal_ligand_panel	51	0.0222886358979372
stromal_ligand_panel	52	0.0477763791753635
stromal_ligand_panel	53	0.0409318511112948
stromal_ligand_panel	54	0.000827035547691111
stromal_ligand_panel	55	0.0229214769171391
stromal_ligand_panel	56	-0.0539301345450358
stromal_ligand_panel	57	-0.0542093729758223
stromal_ligand_panel	58	0.035493221550331
stromal_ligand_panel	59	0.00507157062681247
stromal_ligand_panel	60	0.0661985304339558
stromal_ligand_panel	61	0.0313615898180778
stromal_ligand_panel	62	0.0290371174549743
stromal_ligand_panel	63	-0.0232445675514163
stromal_ligand_panel	64	0.00450527631334957
stromal_ligand_panel	65	0.00606258509906219
stromal_ligand_panel	66	0.0671975185714465
stromal_ligand_panel	67	0.0289534612435628
stromal_ligand_panel	68	-0.0125832633798736
stromal_ligand_panel	69	0.00623020574961281
stromal_ligand_panel	70	0.0281822271370785
stromal_ligand_panel	71	0.0218223183040101
stromal_ligand_panel	72	0.0236482116675574
stromal_ligand_panel	73	0.0313667437807954
stromal_ligand_panel	74	0.0198060812212848
stromal_ligand_panel	75	0.0278976181091659
stromal_ligand_panel	76	-0.00831500073742198
stromal_ligand_panel	77	0.00651520983288619
stromal_ligand_panel	78	-0.00907044147039347
stromal_ligand_panel	79	0.0752945848706288
stromal_ligand_panel	80	0.0446136246157935
stromal_ligand_panel	81	0.0245491792242229
stromal_ligand_panel	82	0.0760830505433618
stromal_ligand_panel	83	-0.0188610598132983
stromal_ligand_panel	84	0.0389101255871158
stromal_ligand_panel	85	-0.000188179548759538
stromal_ligand_panel	86	0.0404298295246698
stromal_ligand_panel	87	0.0125959743216737
stromal_ligand_panel	88	-0.00586228956327365
stromal_ligand_panel	89	0.0993353755858606
stromal_ligand_panel	90	0.0353286609511298
stromal_ligand_panel	91	0.041832718814513
stromal_ligand_panel	92	0.0731666499095138
stromal_ligand_panel	93	-0.0387396247068904
stromal_ligand_panel	94	0.00931823800934473
stromal_ligand_panel	95	0.00799823234689178
stromal_ligand_panel	96	0.0199430080072746
stromal_ligand_panel	97	-0.0143552570702205
stromal_ligand_panel	98	0.0371012476477187
stromal_ligand_panel	99	-0.0235832851195265
stromal_ligand_panel	100	-0.0138407156658192
stromal_ligand_panel	101	0.0365467198490853
stromal_ligand_panel	102	-0.00383706018764718
stromal_ligand_panel	103	-0.014157817949199
